,PlayerName,Season,Position,Age,Team,OffensiveRating,DefensiveRating,RatingSum,scaledRatingSum
0,Nikola Jokić,2021,C,25,DEN,97,90,178,94
1,Giannis Antetokounmpo,2021,PF,26,MIL,92,91,174,91
2,Joel Embiid,2021,C,26,PHI,92,88,171,89
3,Jimmy Butler,2021,SF,31,MIA,89,89,170,89
4,Stephen Curry,2021,PG,32,GSW,94,83,170,89
5,Luka Dončić,2021,PG,21,DAL,92,85,170,89
6,Rudy Gobert,2021,C,28,UTA,84,97,170,89
7,LeBron James,2021,PG,36,LAL,89,86,168,88
8,Kawhi Leonard,2021,SF,29,LAC,89,86,168,88
9,James Harden,2021,PG-SG,31,BRK,90,84,168,88
10,Nikola Vučević,2021,C,30,CHI,88,86,167,87
11,Julius Randle,2021,PF,26,NYK,87,88,167,87
12,Bam Adebayo,2021,C,23,MIA,86,89,166,86
13,Damian Lillard,2021,PG,30,POR,94,76,166,86
14,Chris Paul,2021,PG,35,PHO,87,85,165,86
15,Zion Williamson,2021,PF,20,NOP,90,80,165,86
16,Russell Westbrook,2021,PG,32,WAS,86,88,165,86
17,Anthony Davis,2021,PF,27,LAL,84,89,165,86
18,Kyrie Irving,2021,PG,28,BRK,89,81,165,86
19,Kevin Durant,2021,PF,32,BRK,89,81,165,86
20,Domantas Sabonis,2021,PF,24,IND,86,88,165,86
21,Jayson Tatum,2021,SF,22,BOS,88,83,164,85
22,Ben Simmons,2021,PG,24,PHI,82,90,164,85
23,Bradley Beal,2021,SG,27,WAS,89,79,163,85
24,Tobias Harris,2021,PF,28,PHI,84,85,163,85
25,Karl-Anthony Towns,2021,C,25,MIN,87,83,163,85
26,Donovan Mitchell,2021,PG,24,UTA,88,80,163,85
27,Robert Williams,2021,C,23,BOS,82,89,163,85
28,Mike Conley,2021,PG,33,UTA,84,84,162,84
29,Jrue Holiday,2021,PG,30,MIL,84,84,162,84
30,Zach LaVine,2021,SG,25,CHI,88,79,162,84
31,Paul George,2021,SF,30,LAC,86,83,162,84
32,Trae Young,2021,PG,22,ATL,90,76,162,84
33,Fred VanVleet,2021,SG,26,TOR,83,84,161,83
34,Kyle Anderson,2021,PF,27,MEM,81,88,161,83
35,Chris Boucher,2021,C,28,TOR,83,84,161,83
36,Jaylen Brown,2021,SG,24,BOS,86,81,161,83
37,Montrezl Harrell,2021,C,27,LAL,83,84,161,83
38,Jonas Valančiūnas,2021,C,28,MEM,84,83,161,83
39,DeMar DeRozan,2021,PF,31,SAS,87,79,161,83
40,Terry Rozier,2021,SG,26,CHO,84,81,160,83
41,Brandon Ingram,2021,SF,23,NOP,87,78,160,83
42,Shai Gilgeous-Alexander,2021,SG,22,OKC,86,79,160,83
43,Thaddeus Young,2021,PF,32,CHI,82,85,160,83
44,Khris Middleton,2021,SF,29,MIL,84,81,160,83
45,De'Aaron Fox,2021,PG,23,SAC,87,78,160,83
46,Draymond Green,2021,PF,30,GSW,77,91,160,83
47,Pascal Siakam,2021,PF,26,TOR,83,81,159,82
48,Michael Porter Jr.,2021,SF,22,DEN,84,80,159,82
49,Mikal Bridges,2021,SF,24,PHO,82,84,159,82
50,T.J. McConnell,2021,PG,28,IND,80,86,159,82
51,CJ McCollum,2021,SG,29,POR,87,76,159,82
52,Nerlens Noel,2021,C,26,NYK,75,94,159,82
